state,inpatient_beds,inpatient_beds_used,inpatient_beds_used_covid,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_suspected,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_suspected,staffed_adult_icu_bed_occupancy,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid,total_staffed_adult_icu_beds,inpatient_beds_utilization,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator
RI,2135,1904,436,31,4,1,0,133,45,46,431,400,5,5,165,0.891803279,1904,2135,0.234787291,436,1857,0.210831721,436,2068,0.298013245,45,151,0.806060606,133,165
SC,11227,8115,937,95,89,1,0,941,236,221,932,805,5,5,1307,0.72281108,8115,11227,0.116513305,937,8042,0.084758028,937,11055,0.187450357,236,1259,0.719969396,941,1307
SD,2900,1745,546,42,18,1,2,177,100,104,541,518,5,2,225,0.601724138,1745,2900,0.326359833,546,1673,0.195839311,546,2788,0.4784689,100,209,0.786666667,177,225
TN,19784,12546,2038,224,106,2,9,1724,499,461,2020,1835,18,16,2294,0.685498853,12546,18302,0.198829268,2038,10250,0.137146703,2038,14860,0.25949038,499,1923,0.772747647,1724,2231
TX,71010,49411,9071,1095,596,14,50,6213,2430,2362,8942,8420,129,73,7805,0.695831573,49411,71010,0.185599705,9071,48874,0.129391627,9071,70105,0.319778918,2430,7599,0.796028187,6213,7805
UT,6205,3268,565,86,9,4,0,449,193,191,556,537,9,0,641,0.526672039,3268,6205,0.175465839,565,3220,0.092305179,565,6121,0.305863708,193,631,0.700468019,449,641
VA,18747,11950,1656,161,239,1,9,1331,388,362,1641,1319,15,8,2064,0.637435323,11950,18747,0.139994928,1656,11829,0.08962979,1656,18476,0.194194194,388,1998,0.644864341,1331,2064
VT,1281,645,21,3,8,0,0,64,4,5,21,17,0,0,111,0.503512881,645,1281,0.03343949,21,628,0.016881029,21,1244,0.038461538,4,104,0.576576577,64,111
WA,13704,8939,976,98,85,0,15,919,239,222,969,875,7,6,1315,0.652291302,8939,13704,0.110282486,976,8850,0.07187569,976,13579,0.18441358,239,1296,0.698859316,919,1315
WI,14027,8794,2084,392,110,3,2,1094,422,430,2074,1992,10,3,1647,0.636462329,8794,13817,0.244859593,2084,8511,0.155394825,2084,13411,0.269476373,422,1566,0.664238009,1094,1647
WV,6201,4393,700,87,48,1,1,516,172,172,693,620,7,4,654,0.708434124,4393,6201,0.162300023,700,4313,0.116686114,700,5999,0.286189684,172,601,0.788990826,516,654
AK,1593,962,162,17,4,1,0,90,40,34,159,147,3,2,134,0.603892028,962,1593,0.168399168,162,962,0.101694915,162,1593,0.298507463,40,134,0.671641791,90,134
AL,15526,10799,1851,214,104,1,9,1284,478,461,1830,1636,21,11,1538,0.69554296,10799,15526,0.176942931,1851,10461,0.122965522,1851,15053,0.319518717,478,1496,0.834850455,1284,1538
AR,8815,5884,1065,120,217,0,17,811,319,313,1052,915,13,6,1026,0.667498582,5884,8815,0.184863739,1065,5761,0.123837209,1065,8600,0.332291667,319,960,0.790448343,811,1026
AZ,15896,11255,2558,299,234,1,4,1295,573,517,2533,2090,25,11,2018,0.708039758,11255,15896,0.230491981,2558,11098,0.163879813,2558,15609,0.294601542,573,1945,0.64172448,1295,2018
CA,61406,43212,7901,1037,437,12,19,5186,1732,1693,7812,7221,89,65,6902,0.703709735,43212,61406,0.185312881,7901,42636,0.130919635,7901,60350,0.261236802,1732,6630,0.751376413,5186,6902
CO,11309,7408,1787,253,90,0,8,947,482,459,1773,1638,14,7,1408,0.655053497,7408,11309,0.243959044,1787,7325,0.159853296,1787,11179,0.349275362,482,1380,0.672585227,947,1408
CT,8087,5563,1175,102,62,2,1,588,215,198,1161,1016,14,9,1057,0.687894151,5563,8087,0.212862319,1175,5520,0.146911728,1175,7998,0.207729469,215,1035,0.556291391,588,1057
DE,3243,2243,255,29,28,10,4,147,29,30,249,231,6,4,180,0.69164354,2243,3243,0.114658273,255,2224,0.079389788,255,3212,0.166666667,29,174,0.816666667,147,180
FL,57493,40876,4644,601,352,9,13,4698,950,909,4598,4134,46,27,6233,0.71097351,40876,57493,0.115439111,4644,40229,0.082295192,4644,56431,0.15788599,950,6017,0.753730146,4698,6233
GA,22551,16510,2527,452,171,10,31,2209,630,573,2484,2156,43,12,2717,0.73211831,16510,22551,0.154556575,2527,16350,0.113547517,2527,22255,0.236664162,630,2662,0.813029076,2209,2717
HI,2604,1707,65,3,13,0,1,134,21,19,64,55,1,0,217,0.652073733,1698,2604,0.0380785,65,1707,0.024577573,64,2604,0.096774194,21,217,0.617511521,134,217
IA,8449,4733,1176,144,24,0,1,499,230,228,1170,1158,6,5,703,0.560184637,4733,8449,0.251874063,1176,4669,0.140922708,1176,8345,0.33625731,230,684,0.709815078,499,703
MT,3214,2059,442,53,40,1,5,163,87,88,439,425,3,3,244,0.640634723,2059,3214,0.216348507,442,2043,0.13877551,442,3185,0.365546218,87,238,0.668032787,163,244
NC,22972,16145,2228,248,232,4,9,1858,492,466,2194,1830,34,18,2475,0.702812119,16145,22972,0.139485382,2228,15973,0.098310021,2228,22663,0.203811102,492,2414,0.750707071,1858,2475
ND,2355,1748,458,31,16,1,5,124,52,53,451,407,7,2,134,0.742250531,1748,2355,0.265199768,458,1727,0.196650923,458,2329,0.4,52,130,0.925373134,124,134
NE,4956,3112,927,106,52,1,1,399,219,215,917,872,10,10,571,0.627925747,3112,4956,0.302348337,927,3066,0.190114848,927,4876,0.394594595,219,555,0.698774081,399,571
NH,3117,2039,189,21,29,0,0,167,42,36,189,142,0,0,283,0.654154636,2039,3117,0.092692496,189,2039,0.060635226,189,3117,0.148409894,42,283,0.590106007,167,283
NJ,22439,16046,3023,365,191,2,1,1488,517,498,2998,2771,25,11,2295,0.715094256,16046,22439,0.189601104,3023,15944,0.135566617,3023,22299,0.228457799,517,2263,0.648366013,1488,2295
NM,4295,3086,828,114,12,2,1,413,232,230,810,806,18,7,431,0.723563892,3086,4265,0.274353877,828,3018,0.199518072,828,4150,0.57002457,232,407,0.962703963,413,429
NV,8604,6575,1548,153,124,2,4,691,285,293,1541,1407,7,7,877,0.764179451,6575,8604,0.2392951,1548,6469,0.183412322,1548,8440,0.350985222,285,812,0.787913341,691,877
NY,57919,39854,4815,711,272,4,25,3980,852,752,4699,3977,116,29,7161,0.688098897,39854,57919,0.121557143,4815,39611,0.084098928,4815,57254,0.121281139,852,7025,0.555788298,3980,7161
OH,33066,22063,5351,691,336,9,42,3023,1179,1128,5278,4924,73,35,4169,0.667241275,22063,33066,0.244393697,5351,21895,0.163494149,5351,32729,0.287210719,1179,4105,0.725113936,3023,4169
OK,10556,7255,1655,327,84,2,4,932,435,462,1621,1599,34,32,1096,0.687286851,7255,10556,0.235654279,1655,7023,0.16236633,1655,10193,0.423563778,435,1027,0.850364964,932,1096
OR,6586,4568,660,62,71,0,36,502,126,108,647,534,13,7,777,0.693592469,4568,6586,0.14735432,660,4479,0.102246321,660,6455,0.166007905,126,759,0.646074646,502,777
PA,37127,26952,5494,653,513,4,18,3143,1148,1120,5456,4836,70,36,3909,0.72594069,26952,37127,0.205229735,5494,26770,0.149407158,5494,36772,0.301787592,1148,3804,0.804041954,3143,3909
ID,3750,2175,448,61,8,1,0,235,112,117,445,440,3,3,302,0.58,2175,3750,0.213231794,448,2101,0.122137405,448,3668,0.386206897,112,290,0.778145695,235,302
IL,31429,20439,6004,505,461,6,23,2425,1174,1099,5955,5077,49,28,3711,0.65032295,20439,31429,0.296875,6004,20224,0.193696164,6004,30997,0.321908418,1174,3647,0.653462679,2425,3711
IN,18237,11652,3349,314,261,4,10,1616,780,713,3316,2772,33,15,2158,0.638920875,11652,18237,0.29045967,3349,11530,0.185416897,3349,18062,0.370546318,780,2105,0.74884152,1616,2158
KS,8175,4849,1178,156,64,0,0,593,266,256,1176,1006,2,0,809,0.593149847,4849,8175,0.245212323,1178,4804,0.145864289,1178,8076,0.339285714,266,784,0.733003708,593,809
KY,14237,9545,1859,381,105,2,9,1200,405,433,1829,1633,30,11,1633,0.670436187,9545,14237,0.197241379,1859,9425,0.132247279,1859,14057,0.255037783,405,1588,0.734843846,1200,1633
LA,14006,8760,1124,168,30,4,0,1306,335,324,1116,1819,8,7,1879,0.625446237,8760,14006,0.128310502,1124,8760,0.080251321,1124,14006,0.178286323,335,1879,0.695050559,1306,1879
MA,21893,14669,1171,159,152,1,2,982,272,244,1142,959,29,20,1960,0.670031517,14669,21893,0.080326519,1171,14578,0.053794561,1171,21768,0.140495868,272,1936,0.501020408,982,1960
MD,12063,9225,1874,194,282,1,6,1021,386,350,1856,1492,18,12,1342,0.764735141,9225,12063,0.204094968,1874,9182,0.156728276,1874,11957,0.294656489,386,1310,0.760804769,1021,1342
ME,3039,1886,152,13,27,0,0,219,67,59,151,122,1,1,308,0.620598881,1886,3039,0.081632653,152,1862,0.050498339,152,3010,0.224832215,67,298,0.711038961,219,308
MI,24033,18217,4166,558,144,7,13,2223,882,851,4136,3850,30,26,2915,0.757999417,18217,24033,0.230369387,4166,18084,0.174799648,4166,23833,0.306782609,882,2875,0.762607204,2223,2915
MN,10387,7469,2039,192,70,3,4,815,415,403,2010,1910,29,24,1011,0.719071917,7469,10387,0.282527366,2039,7217,0.203391521,2039,10025,0.43274244,415,959,0.806132542,815,1011
MO,16742,12386,2689,285,201,3,17,1600,709,674,2636,2408,53,26,1908,0.739816032,12386,16742,0.220175223,2689,12213,0.163624194,2689,16434,0.384698861,709,1843,0.838574423,1600,1908
MS,8771,5218,1041,134,37,0,2,676,270,220,1020,895,21,10,903,0.594915061,5218,8771,0.201626961,1041,5163,0.119779082,1041,8691,0.305775764,270,883,0.748615725,676,903
WY,1677,805,247,38,26,0,0,63,49,50,247,238,0,0,130,0.480023852,805,1677,0.312262958,247,791,0.152469136,247,1620,0.411764706,49,119,0.484615385,63,130
